,Alimento,Porzione,Porzione.1,Calorie,Kilojoule,category
43,Semi di papavero,100g,1 cucchiaio (8.8 g),525 kcal,2205 kJ,Ingredienti per torte e focacce
44,Latte in polvere,100g,1 bicchiere (68 g),496 kcal,2083 kJ,Ingredienti per torte e focacce
45,Zucchero al velo,100g,"1 bicchiere, non setacciato (120 g)",389 kcal,1634 kJ,Ingredienti per torte e focacce
46,Uva sultanina / Uvetta,100g,1 bicchiere (165 g),474 kcal,1991 kJ,Ingredienti per torte e focacce
47,Latte di riso,100g,1 bicchiere (245 g),49 kcal,206 kJ,Ingredienti per torte e focacce
48,Cristalli di zucchero / Zucchero in cristalli,100g,1 cucchiaino (4 g),625 kcal,2625 kJ,Ingredienti per torte e focacce
49,Fiocchi di avena,100g,1 bicchiere (156 g),384 kcal,1613 kJ,Ingredienti per torte e focacce
50,Farina di semola,100g,1 bicchiere (120 g),350 kcal,1470 kJ,Ingredienti per torte e focacce
51,Semi di sesamo,100g,1 bicchiere (144 g),573 kcal,2407 kJ,Ingredienti per torte e focacce
52,Scaglie di cocco,100g,1 bicchiere (93 g),501 kcal,2104 kJ,Ingredienti per torte e focacce
53,Sorbitolo,100g,1 cucchiaino (4 g),375 kcal,1575 kJ,Ingredienti per torte e focacce
54,Latte di soia,100g,1 bicchiere (243 g),41 kcal,172 kJ,Ingredienti per torte e focacce
55,Amido,100g,1 bicchiere (128 g),381 kcal,1600 kJ,Ingredienti per torte e focacce
56,Conserva di fragole / Salsa di fragole,100g,1 cucchiaio (20 g),278 kcal,1168 kJ,Ingredienti per torte e focacce
57,Saccarosio,100g,1 cucchiaino (4 g),387 kcal,1625 kJ,Ingredienti per torte e focacce
58,Zucchero,100g,1 cucchiaino (5 g),21 kcal,88 kJ,Ingredienti per torte e focacce
59,Semi di girasole,100g,1 porzione (20 g),117 kcal,491 kJ,Ingredienti per torte e focacce
60,Dolcificante,100g,1 bustina (1 g),360 kcal,1512 kJ,Ingredienti per torte e focacce
61,Burro non salato,100g,1 bicchiere (227 g),717 kcal,3011 kJ,Ingredienti per torte e focacce
62,Vanillina / Estratto di vaniglia,100g,1 cucchiaio (13 g),288 kcal,1210 kJ,Ingredienti per torte e focacce
63,Zucchero vanigliato,100g,1 cucchiaino (2.4 g),357 kcal,1499 kJ,Ingredienti per torte e focacce
64,Olio vegetale,100g,1 cucchiaio (13.6 g),884 kcal,3713 kJ,Ingredienti per torte e focacce
65,Margarina / Grasso vegetale,100g,1 cucchiaio (12.8 g),884 kcal,3713 kJ,Ingredienti per torte e focacce
66,Noci,100g,1 noce (20 g),131 kcal,550 kJ,Ingredienti per torte e focacce
67,Latte intero,100g,1 bicchiere (244 g),61 kcal,256 kJ,Ingredienti per torte e focacce
68,Xilitolo,100g,1 cucchiaino (4 g),240 kcal,1008 kJ,Ingredienti per torte e focacce
69,Lievito (secco) / Lievito (in polvere),100g,1 cucchiaino (4 g),325 kcal,1365 kJ,Ingredienti per torte e focacce
70,Croccante,100g,1 bicchiere (75 g),592 kcal,2486 kJ,Ingredienti per torte e focacce
71,Buccia di arancia candita,100g,1 cucchiaio (6 g),97 kcal,407 kJ,Ingredienti per torte e focacce
72,Farina di mais,100g,1 bicchiere (117 g),361 kcal,1516 kJ,Ingredienti per torte e focacce
73,Uovo d'anitra,100g,1 uovo (70 g),185 kcal,777 kJ,Ingredienti per torte e focacce
74,Palline arcobaleno,100g,1 cucchiaio (5 g),475 kcal,1995 kJ,Ingredienti per torte e focacce
75,Latte condensato zuccherato,100g,1 bicchiere (306 g),321 kcal,1348 kJ,Ingredienti per torte e focacce
76,Cannella in polvere,100g,1 cucchiaino (2.6 g),247 kcal,1037 kJ,Ingredienti per torte e focacce
77,Panna da montare,100g,"1 bicchiere, montata (120 g)",345 kcal,1449 kJ,Ingredienti per torte e focacce
78,Proteine in polvere,100g,1 cucchiaio (11 g),411 kcal,1726 kJ,Ingredienti per torte e focacce
79,Codette / Granella,100g,1 cucchiaino (2 g),500 kcal,2100 kJ,Ingredienti per torte e focacce
80,Farina di grano integrale,100g,1 bicchiere (120 g),340 kcal,1428 kJ,Ingredienti per torte e focacce
81,Fiocchi di cocco,100g,1 bicchiere (85 g),456 kcal,1915 kJ,Ingredienti per torte e focacce
82,Cremor tartaro / Cremore di tartaro,100g,1 cucchiaio (15 g),258 kcal,1084 kJ,Ingredienti per torte e focacce
83,Burro di cacao,100g,1 pezzo (10 g),903 kcal,3793 kJ,Ingredienti per torte e focacce
84,Bicarbonato di sodio,100g,1 bustina (50 g),0 kcal,0 kJ,Ingredienti per torte e focacce
85,Pectina,100g,1 bustina (2 g),150 kcal,630 kJ,Ingredienti per torte e focacce
