name,Categorie,Confezionamento,"Etichette, certificazioni, premi",Link alla pagina del prodotto sul sito ufficiale del produttore,Luoghi di produzione o lavorazione,Marche,Negozi,Nome generico,NutriScore,Nutrition score  France,Origine degli ingredienti,Paesi di vendita,Quantità,acidi grassi saturi | g,additives,barcode,carboidrati | g,codice EMB,fibra alimentare | g,grassi | g,ingredients,proteine | g,sale | g,sodio | g,zuccheri | g
Le Sfoglie Classiche — Gran Pavesi — 190 gr," Salty snacks, Appetizers, Crackers",,,, Italia, Gran Pavesi, Esselunga,,D,14,," Francia, Italia", 190 gr,3.997294139351823,,8013355500103,69.18393702724309,,5.1247360760920815,13.32431379783941,,9.224524936965746,2.254883873480516,0.8876042883791485,11.27441936740258
Crema spalmabile Nocciolla —," Spreads, Breakfasts, Sweet spreads, fr",,,,,,,,E,23,, Italia,,7.25353416877585,,8000295003016,50.939358396608846,,1.923987077391609,35.11533633763402,,11.60565467004136,0.2983723275099286,0.11729119081424781,47.37946786838694
Muesli Croustillant Abricot & Graines de Courge — W.K. Kellog — 570 g," Cibi e bevande a base vegetale, Cibi a base vegetale, Breakfasts, Cereali e patate, Cereals and their products, Breakfast cereals, Flakes, Cereal flakes, Mixed cereal flakes, Mueslis, Mueslis with fruits"," boîte, Carton, Plastique"," Halal, Senza zuccheri aggiunti, No artificial colors, No artificial sweeteners, Senza olio di palma",,," W.K. Kellog, Kellogg's",, Granola Apricot & Pumpkin Seeds ,B,0,," Francia, Italia", 570 g,2.2464938649322312,E220 - Anidride solforosa,5053827188845,65.25529798136482,,9.199927256389136,16.046384749515937,"Céréales (64 %) (flocons d'orge complet {27 %}, avoine {23 %}, seigle entier {13 %}, farine de blé, farine d'avoine), Pâte de dattes (14 %), Abricot (10 %) (conservateur : dioxyde de soufre), Huile de tournesol, Purée de banane, Graines de citrouille (3 %), Arômes naturels, Extrait de malt d'orge, Sel.",9.199927256389136,0.21395179666021247,0.08451095968078393,17.116143732816997
Cioccolato al latte — Pam & Panorama," Sugary snacks, Cioccolato, Cioccolato al latte",,, https,, Pam & Panorama,,,E,26,, Italia,,29.243430672181148,,8004263683040,41.77632953168735,,,48.042778961440455,"Burro di cacao, latte in polvere, zucchero di canna"", pasta di cacao"", burro anidro, emulsionante: lecitina di soia, vaniglia macinata*. *Biologico. Può contenere tracce di frutta a guscio.",9.817437439946527,0.26110205957304594,0.10235200735263401,40.73192129339517
Spolverata di Tartufo — Saporalia — 30 g," Groceries, Condiments, Seasonings", Plastique, Fatto in Italia,, Italie," Saporalia, Amarfood",, Truffe en poudre,D,12,," Francia, Italia", 30 g,0.0,,8025386004680,44.181753917448845,,,0.3927267014884342,"Truffe d'été déshydratée 50 % (Tuber aestivum Vitt.), sel, champignons déshydratés (Agaricus bisporus), arômes.",5.890900522326513,35.541766484703295,13.99285237403291,0.8836350783489769
"Chocolat 4 Bâtonnets Kinder (50G) — Ferrero — 50 g e (12,5 g * 4)"," Sugary snacks, Dolce, Chocolate candies, Bars, Chocolate bars"," Boîte, Carton, Papier",, http, Deutschland," Ferrero, Kinder", Vilnius Airport, Gefüllte Vollmilchschokolade mit Milchfüllung (60%),E,28,," Francia, Germania, Hong Kong, Italia, Lituania"," 50 g e (12,5 g * 4)",23.147199803351228,,80177609,54.795362366340285,,,35.84743332377402,"Vollmilchschokolade 40% (Zucker, Vollmilchpulver, Kakaobutter, Kakaomasse, Emulgator Lecithine (Soja), Vanillin), Zucker, Magermilchpulver (18 %), Palmöl, Butterreinfett, Emulgator Lecithine (Soja), Vanillin.",8.910647711909542,0.3205784751526077,0.1259781228235487,54.59051989020443
Combicioc — Selex — 250 g," Sugary snacks, Biscuits and cakes, Biscotti, Chocolate biscuits",,,,, Selex,,,E,22,, Italia, 250 g,14.28177950972691,,8003100853578,67.32838911728402,,2.346292348026564,23.46292348026564,,6.222775357809582,0.45905719852693644,0.18056249808726166,39.27489365174901
"Biscotti con fiocchi di farro - Biologico - con sola farina integrale di farro, con farro italiano — Carrefour BIO — 300 g e"," Sugary snacks, Biscuits and cakes, Biscotti"," Sacchetto, Carta"," Biologico, Con farro italiano, Con sola farina integrale di farro",," Rudiano (BS), Italia", Carrefour BIO, Carrefour, Biscotti con farina integrale di farro e fiocchi di farro bio,C,7," AGRICOLTURA UE/NON UE, farro italiano", Italia, 300 g e,2.256549120971547,,8012666051441,63.59365704556178, POGGIO DEL FARRO S.R.L.,6.8722177775042566,18.46267462613084,"Farina integrale di FARRO* 33,5%, fiocchi di FARRO* 33%, olio di semi di girasole*, zucchero di canna*, sciroppo di riso*, agenti lievitanti (carbonato di ammonio, carbonato di sodio), sale, aromi naturali. *Biologico",10.257041458961577,0.5846513631608099,0.22975772868073932,16.411266334338524
Nesquik — Nestlé — 500 g e," Boissons, Boissons chaudes, Boissons chaudes instantanées, Boissons non sucrées, Chocolats, Chocolats en poudre, Petit-déjeuners, Snacks sucrés"," Barattolo, Plastica"," Point Vert, Sans gluten",,," Nestlé, Nesquik",,,D,11,," Francia, Italia", 500 g e,1.5845182008324004,Carbonato di magnesio; Difosfato ferrico; Solfato di zinco,8000550502827,84.08509919083937,,6.866245536940402,3.1690364016648007,"Zucchero, cacao magro 20,3%, destrosio, emulsionante lecitine di soia, minerali (carbonato di magnesio, pirofosfato ferrico, solfato di zinco), vitamine (C, tiammina, D), sale, cannella, aromi.",5.281727336108001,0.42887625969196974,0.16901527475545602,79.85971732195297
riso integrale — alce nero — 1 kg," Cibi e bevande a base vegetale, Cibi a base vegetale, Cereali e patate, Seeds, Cereals and their products, Cereal grains, Rices", carta/plastica, Bio,," Bologna, Emilia-Romagna, Italia", alce nero, Conad, riso Baldo integrale biologico,B,2," Piemonte, Lombardia, Italia", Italia, 1 kg,0.5472734835051771,,8009004508514,86.35975569711695,,1.9701845406186378,2.40800332742278,Riso Baldo integrale biologico,8.099647555876622,0.8340447888618899,0.32836409010310624,1.20400166371139
Taralli olive e cipolla — tarall'oro — 200g, Taralli," Cartone, Plastica",,,, tarall'oro, Rossetto, Prodotto da forno senza solfiti e senza lievito,D,17,, Italia, 200g,5.375858783411064,,8003007821205,66.29557193721479,,3.5805626598465476,17.952961235645155,"farina di grano tenero tipo ""0"", olio di oliva, olive 4%, olio extra vergine di oliva, sale, cipolla disidritata 1%.",8.95642144325761,2.306805074971165,0.9076776490647411,1.7952961235645155
Olio Extravegine Di Oliva — Redoro — 500 ml," Cibi e bevande a base vegetale, Cibi a base vegetale, Fats, Olive tree products, Vegetable fats, Olio vegetale, Olio di oliva, Olive oils from Italy, Olio extra vergine di oliva",,,,, Redoro,,,D,11, Italie," Francia, Italia", 500 ml,14.519650655021834,,8001302001506,0.0,,,100.0,,0.0,0.0,0.0,0.0
Gran Pasticceria Crème Noisette - 100G — Loacker," Sugary snacks, Dolce, Biscuits and cakes, Biscotti, fr"," Carton, Plastique",, http, Italie, Loacker," Auchan, Magasins U", Biscuits au chocolat au lait et à la noisette,E,23,," Francia, Germania, Italia", 100g,22.416977124008582,E322 - Lecitine; E500ii - Carbonato acido di sodio; E450i - Difosfato disodico,8000380003723,53.37375505716329,,,37.3616285400143,"CHOCOLAT AU LAIT 35% (CACAO: 33%, LAIT DESHYDRATE: 24%; SUCRE, LAIT EN POUDRE, beurre de cacao, PATE DE CACAO, LAIT ECREME EN POUDRE, LACTOSERUM EN POUDRE, EMULSIFIANT LECITHINES DE SOJA, EXTRAIT DE VANILLE), NOISETTES 15%, HUILE DE COPRAH, SIROP DE GLUCOSE, FARINE DE FROMENT, SUCRE, LACTOSERUM EN POUDRE, LAIT ECREME EN POUDRE, FARINE DE SOJA, CACAO MAIGRE, DEXTROSE, EXTRAIT DE MALT D'ORGE, SEL, POUDRES A LEVER (CARBONATE ACIDE DE SODIUM, DIPHOSPHATE DISODIQUE), EMULSIFIANT LECITHINES DE SOJA, GOUSSES DE VANILLE BOURBON, EPICES.",8.966790849603433,0.2134950202286532,0.084330532990318,37.3616285400143
Olio Extravergine di Oliva DOP —  — 500 ml," Cibi e bevande a base vegetale, Cibi a base vegetale, Fats, Olive tree products, Vegetable fats, Olio vegetale, Olio di oliva, Olive oils from Italy, Olio extra vergine di oliva, fr",,,,,,,,D,11,," Francia, Italia", 500 ml,15.393013100436681,,8015744000140,0.0,,,100.0,,0.0,0.0,0.0,0.0
Biscotti alle mandorle — tutti in forno — 300 g," Sugary snacks, Biscuits and cakes, Biscotti, Cookies, Almond cookies, Dry biscuits", Pacco,,,, tutti in forno,,,D,12,, Italia, 300 g,3.9572203651056475,E450 - Pirofosfato; E500 - Carbonato di sodio,8033753070428,65.91896029241775,,4.165495121163839,18.224041155091797,"BISCOTTI ALLE MANDORLE PRODOTTO DOLCIARIO DA FORNO INGREDIENTI: Farina di grano tenero, zucchero, mandorle (21 %), uova burro (latte), tuorlo d'uovo, miele, agenti lievitanti (E450, E500), aromi, sale Il prodotto può contenere tracce di arachidi e altra frutta a guscio.",11.038562071084174,0.46861820113093194,0.18432315911149988,35.92739542003812
Grissini rustici Valledoro — 300 g," Cibi e bevande a base vegetale, Cibi a base vegetale, Cereali e patate, Pani, Breadsticks", sacchetto di plastica,,, Brescia - Italia, Valledoro,, grissini,D,11,, Italia, 300 g,2.0484247613585156,,,73.74329140890656,,4.096849522717031,6.657380474415175,"Farina di grano tenero tipo ""0"", Olio di girasole alto oleico (5%), Lievito, Sale iodato, farina di cerali maltati",12.290548568151092,2.30447785652833,0.9074521692818224,4.096849522717031
Magretti crackers Galbusera — 380 g," Salty snacks, Appetizers, Crackers", Carta,,,, Galbusera,, Cracker a basso contenuto di grassi,C,9,, Italia, 380 g,0.4082299150881777,,,78.9924885695624,,4.082299150881777,1.5308621815806662,"Farina di frumento, Lievito madre naturale 1% (frumento), Sale marino integrale, Correttore di acidità (della lievitazione) carbonato acido di sodio, Farina di malto d'orzo, Lievito per panificazione (lievito di birra), Aromi",11.838667537557154,2.5514369693011107,1.004245591116917,2.0411495754408886
Kopiko Original — Mayora — 120 g," Sugary snacks, Dolce, Caramels, ca", Bossa, Halal,, Indonesia," Mayora, Kopiko",, Caramels de cafè,E,23,," Francia, Italia, Portogallo, Spagna", 120 g,7.830046774226782,,8996001320013,88.80921472873008,,,10.199666192742782,,0.6181615874389564,0.26787002122354786,0.1050874698646226,69.13107086192329
Chocolat latte finissimo — Vanini," Sugary snacks, Cioccolato, Cioccolato al latte",,,,, Vanini,,,E,25,," Francia, Italia",,30.423790547199726,,8006070072543,38.67249432232078,,,50.242104812100955,,10.712602305352016,0.2678150576338004,0.10498350259244976,37.172729999571494
Olio extra vergine di oliva — Secchi," Cibi e bevande a base vegetale, Cibi a base vegetale, Fats, Olive tree products, Vegetable fats, Olio vegetale, Olio di oliva, Olive oils from Italy, Olio extra vergine di oliva",,,,, Secchi,,,D,11, Italie," Francia, Italia",,15.005476451259584,,8009923200575,0.0,,,100.0,,0.0,0.0,0.0,0.0
Ottimini integrali — Divella — 400 g.," Sugary snacks, Biscuits and cakes, Biscotti", Pacco,,," F. DIVELLA S.p.A. largo Domenico Divella, 1 78018 Rutigliano (BA) Italia", Divella, Vari,,C,9,," Francia, Italia", 400 g.,2.747616188547529,,8005121214253,68.99569540130462,,4.070542501551895,18.317441256983525,,7.835794315487397,0.5596995939633855,0.2208269307091903,20.35271250775947
Pâte à Tartiner au Chocolat Blanc — Vendri — 40 g," Spreads, Breakfasts, Sweet spreads, fr"," Conserve, métal"," Fatto in Italia, Senza olio di palma",, Italie, Vendri,,,E,24," Piémont, Italie"," Francia, Italia", 40 g,16.647525524449737,E322i - E322(i) food additive,8002996960131,32.24141019292164,,,60.373621047529745,"Chocolat blanc 50% (sucre, beurre de cacao, lait entier en poudre, lactosérum en poudre [de lait), emulsifiant :lécithine de soja, arôme naturel de vanille, pâte de noisettes du Piémont (30%), Huile d'olive (20 %).",7.164757820649253,0.15804612839667473,0.062164810502692056,31.293133422541597
Cookie Crisp — Nestlé — 260 g e, Céréales pour petit-déjeuner," Carton, boîte, Plastique, Sachet", Point Vert,,, Nestlé,,,C,8,," Francia, Italia", 260 g e,1.4615762055393735,E1000 - Acido colico; Niacina; Acido pantotenico; Vitamina D; Vitamina B6; Riboflavina; Carbonato di calcio; Ferro,7613034356468,82.47465731257894,,5.950703122553165,3.445143913057095,"Cereali (frumento integrale 35,1%, farina di mais 28,5%, farina di frumento 1 zucchero, sciroppo di glucosio, amido di frumento, zucchero di canna, oli vegetali (palma, girasole), cacao magro in polvere 1,2%, sale, cacao, aromi naturali, agente lievitante carbonati di sodio, correttore di acidità fosfati di potassio, amido di mais, vitamine e minerali (Carbonato di calcio, Niacina, Acido pantotenico, Ferro, Vitamina D, Acido Folico, Vitamina B6, Riboflavina).",6.994686126509859,0.8143067430862225,0.3205027822147055,26.099575098917388
BioKitchen Organic Peanut Butter Smooth — Clearspring — 350 g," Cibi e bevande a base vegetale, Cibi a base vegetale, Legumes and their products, Spreads, Nuts and their products, Plant-based spreads, Oilseed purees, Nut butters, Legume butters, Peanut butters"," Frasco, Vidro"," Biologico, Vegetariano, Biologico UE, Kosher, Vegano, NL-BIO-01, Non-EU Agriculture, Orthodox Union Kosher, Soil Association Organic, The Vegan Society; ; ; ", https,, Clearspring, Celeiro, Creme de Amendoim Biológico - Suave.,D,15, Non-EU," Danimarca, Italia, Norvegia, Portogallo, Svezia, Regno Unito", 350 g,7.402246799616824,,5021554989196,17.41705129321606,,,53.33971958547418,"Amendoins* (99.4%), sal marinho. *de agricultura biológica.",28.30270835147609,0.6749107376121223,0.26561003222154483,4.354262823304015
Sfoglia di grano — Mulino Bianco — 500g," Salty snacks, Appetizers, Crackers"," Plastica, Rettangolare",,,, Mulino Bianco,, Cracker,D,12,," Francia, Italia", 500g,5.60258330022716,E502 - E502 food additive,8076809516648,69.26830262099033,,4.889527243834612,13.242469618718742,"Farina di frumento, olio di semi di girasole, estratto di malto d’orzo e mais, sale, correttore di acidità: carbonato acido di sodio, farina di orzo maltato, lievito madre 0,5% (farina di frumento, acqua, farina di orzo maltato, lievito), lievito.",10.186515091322109,1.7317075655247582,0.6814778596094491,2.5466287728305272
Amandino — Damiano — 180 g e," Cibi e bevande a base vegetale, Cibi a base vegetale, Spreads, Nuts and their products, Plant-based spreads, Oilseed purees, Nut butters, Almond butters, Whole almond purees"," Glass, Metal", Biologico,,, Damiano,, Almond butter,A,-1,, Italia, 180 g e,5.31270586735236,,8002352000112,4.781435280617123,,6.375247040822832,63.00869158679898,Peeled almonds.,25.81975051533247,0.010625411734704718,0.0042501646938818876,4.250164693881888
Cracker Magretti — Galbusera — 380g," Salty snacks, Appetizers, Crackers"," Plastica, Cartone",,," Agrate Brianza, Italy", Galbusera, Tosano, Cracker,C,10,," Francia, Italia", 380g,0.4082299150881777,,8002190002378,78.9924885695624,,4.082299150881777,1.5308621815806662,"farine di frumento. lievito madre naturale 1% (frumento), sale marino Integrale: correttore di acidità (della lievitazione) carbonato acido di sodio, farina di malto d'orzo,lievito per panificazione (lievito di birra), aromi.",11.838667537557154,2.5514369693011107,1.004245591116917,2.0411495754408886
grissini senza glutine schar — 150 g," Cibi e bevande a base vegetale, Cibi a base vegetale, Cereali e patate, Pani, Breadsticks", Carta," Senza glutine, Senza lattosio",,, Schar,, Grissini senza glutine. Prodotto specificamente formulato per persone intolleranti al glutine,D,14,, Italia, 150 g,3.6274316747333835,E464 - Idrossipropilmetilcellulosa; E472e - Esteri mono- e diacetiltartarici di mono- e digliceridi degli acidi grassi; E503ii - Carbonato acido di ammonio,,84.98554209375355,,2.0728180998476478,6.529377014520089,"Fecola di patate, Farina di riso, Amido di mais modificato, Lievito, Farina di grano saraceno, Olio di palma, Sciroppo di glucosio-fruttosio, Zucchero, Sale, Addensante: idrossipropilmetilcellulosa, Emulsionante: esteri mono- e diacetiltartarici di mono- e digliceridi degli acidi grassi, Agente lievitante: carbonato acido di ammonio, Aroma naturale",3.523790769741001,2.0728180998476478,0.8156539222900494,2.7983044347943244
Cioccolato extra fondente — Alce Nero — 100 g," Sugary snacks, Cioccolato, Cioccolato fondente",, Biologico,,, Alce Nero,,,D,17,," Francia, Italia", 100 g,30.199525138501272,,8009004901186,30.199525138501272,,11.454992293914275,48.944057983088264,"pasta di cacao*, zucchero di canna* (23%), burro di cacao, baccelli di vaniglia*. *Biologico. CACAO 75% min. (cioccolato). Può contenere: latte nocciole e mandorle.",9.372266422293498,0.02082725871620777,0.008330903486483108,24.992710459449327
Fette Biscottate ai Cereali — Tre Mulini — 320 g," Cibi e bevande a base vegetale, Cibi a base vegetale, Cereali e patate, Pani, Zwieback, fr"," Astuccio, Cartone",,,, Tre Mulini,, fette biscottate ai cereali,C,8,, Italia, 320 g,3.185694109651591,,8017596063236,75.39476059508766,,4.778541164477387,6.371388219303182,"farina di FRUMENTO, cereali 8% (riso 6,3%, ORZO 0,5%, SEGALE 0,4%, AVENA 0,4%, FARRO 0,4%) estratto di malto d'ORZO e mais, lievito, olio di palma, zucchero, fiocchi d'AVENA (1,8%), sale, farina di FRUMENTO maltato.",11.680878402055836,1.273215745824086,0.5012158732518504,8.495184292404243
Muesli Croquant au Chocolat — Confronta & Risparmia — 375 g e," Cibi e bevande a base vegetale, Cibi a base vegetale, Breakfasts, Cereali e patate, Cereals and their products, Breakfast cereals, Flakes, Cereal flakes, Mixed cereal flakes, Mueslis, Chocolate cereals, Mueslis with chocolate"," Carton, boîte, Plastique",,,, Confronta & Risparmia,, Muesli croccante con cioccolato,D,17,," Francia, Italia", 375 g e,6.620543546625177,,8000633028992,69.51570723956436,,,20.965054564313064,,8.827391395500236,0.49654076599688834,0.19530603462544271,34.206141657563414
Gallette di mais — Carrefour Bio," Cibi e bevande a base vegetale, Cibi a base vegetale, Cereali e patate, Cereals and their products, Puffed cereal cakes, Puffed corn cakes",,,,," Carrefour Bio, Carrefour",,,B,1,, Italia,,0.21360674997329912,,8012666021574,89.71483498878564,,,1.495247249813094,"Mais 99%, sale marino, olio di semi di mais.",8.223859873972017,0.4058528249492684,0.16020506247997435,0.5340168749332478
Corn Flakes — Kellogg's — 375 g," Cibi e bevande a base vegetale, Cibi a base vegetale, Breakfasts, Cereali e patate, Cereals and their products, Breakfast cereals, Flakes, Cereal flakes, Corn flakes", Cartone, Vegetariani,,, Kellogg's,,,C,3,, Italia, 375 g,0.20694935949173238,,8010265640202,86.91873098652759,,3.1042403923759854,0.9312721177127956,"Maïs 98%, sucre, arôme de malt d'orge, sel, minéraux et vitamines (niacine, B1, B2, B6, B12, D, acide folique, fer)",7.243227582210632,1.2934334968233272,0.5090954243496616,8.277974379669294
Cheerios — Nestlé — 375 g," Cibi e bevande a base vegetale, Cibi a base vegetale, Breakfasts, Cereali e patate, Cereals and their products, Breakfast cereals"," Carton, boîte, Plastique, Sachet"," Calcium source, Punto Verde, No artificial colors",,, Nestlé,,,C,8,," Francia, Italia", 375 g,0.6297427500865895,E340iii - Fosfato tripotassico; E150 - E150 food additive; E160a - Carotene; E307c - E307c food additive; Vitamina C; Niacina; Acido pantotenico; Riboflavina; Vitamina B6; Acido folico(acido pteroil-monoglutammico; Vitamina D; Carbonato di calcio; Ferro,3387390334524,78.82280088583812,,7.766827251067938,3.0437566254185158,acido pantotenico,8.816398501212253,1.112545525152975,0.43767121131017966,25.609538503521307
Fiori d'acqua Mulino bianco Barilla — 275 g, Prodotti da forno,,,,," Mulino Bianco, Barilla",,,D,11,, Italia, 275 g ,1.3037526346667825,E500ii - Carbonato acido di sodio,8076809541664,78.55109623867365,,,7.605223702222898,"farina di frumento, olio d'oliva 5,8%, estratto di malto d'orzo e mais, sale, correttore d'acidità: carbonato acido di sodio",11.95106581777884,1.358075661111232,0.5345385802133809,2.716151322222464
Digestive : The Original — McVitie's — 400 g," Sugary snacks, Biscuits and cakes, Biscotti, Shortbread cookies"," Carton, Plastique"," No artificial flavors, No artificial colors",,, McVitie's,,,E,22,," Francia, Italia, Svizzera", 400 g,10.63050231703667,E500 - Carbonato di sodio; E296 - Acido malico; Niacina; Tiamina; Carbonato di calcio; Ferro; Huile de palme,5000396017588,64.71189274545624,,3.509097852225697,22.499509758388292,"farina (56%) (farina di frumento, carbonato di calcio, ferro, niacina, tiamina), olio di palma, zucchero, farina di frumento integrale (13%), sciroppo di zucchero, parzialmente invertito, agenti lievitanti (carbonati di sodio, acido malico), sale",7.121404464810974,1.5481314053936899,0.6099637737251138,17.339071740409327
Fagolosi gusto classico — Grissin Bon — 200 g," Cibi e bevande a base vegetale, Cibi a base vegetale, Cereali e patate, Pani, Breadsticks", sacchetto di plastica,,, Sant'Ilario d'Enza (RE)- Italia, Grissin Bon,, grissini,D,14,, Italia, 200 g,1.858294704892477,Iodato di potassio,,73.29940224853658,,2.477726273189969,10.014143687476123,"farina di grano tenero tipo “0”, olio extra vergine d’oliva 7,7%, crema di lievito,  sale iodato (sale, iodato di potassio 0,007%) 2,7%, estratto di malto d’orzo, farina di frumento maltato, aromi naturali.",10.32385947162487,2.7874420573387155,1.0974262618337238,1.9615332996087254
Crema Novi — 200 g," Petit-déjeuners, Produits à tartiner, Produits à tartiner sucrés, Pâtes à tartiner, Pâtes à tartiner au chocolat, Pâtes à tartiner aux noisettes, Pâtes à tartiner aux noisettes et au cacao"," Vasetto, Plastica", Sans gluten, http, ITALIA," Novi, Elah Dufour SpA Via Piandilucco 22/R 16155  Genova Italy",, Crema da spalmare alle nocciole e al cacao senza grassi estranei,D,15,," Francia, Italia", 200 g,6.0338101430429125,,8006380226001,44.42132639791938,,7.178153446033811,37.45123537061119,"NOCCIOLE (45%), zucchero, cacao magro (9%), LATTE scremato in polvere, burro di cacao, emulsionante: lecitina di SOIA, estratto naturale da bacche di vaniglia.",10.819245773732119,0.09362808842652795,0.036410923276983094,42.3407022106632
Ovomaltine — 200 g," Bevande, Hot beverages, en"," Bocal, Plastique, Plástico, PP, Polipropileno, ♷", Punto Verde,, Suiça, Ovomaltine,, Préparation en poudre à l'extrait de malt d'orge (51%) et au cacao (13%) pour boisson instantanée,E,17,," Francia, Italia, Portogallo, Spagna", 200 g,0.9646612431267885,Vitamina A; Vitamina E; Tiamina; Riboflavina; Niacina; Acido pantotenico; Vitamina B6; Biotina; Acido folico(acido pteroil-monoglutammico; Vitamina B12; Vitamina C; Carbonato di magnesio; Calcium phosphate; Huile végétale,7612100054994,81.46028275292882,,5.359229128482158,1.822137903683934,"Extraits de malt d'orge (extrait sec 51%), lait écrémé concentré, lactosérum concentré, cacao maigre (13%), sucre, fructose, carbonate de magnésium, phosphate de calcium, huile végétale, vitamines (A, E, B1, B2, PP, B5, B6, B8, B9, B12, C), sel, arôme (vanilline).",10.611273674394674,0.5359229128482158,0.21115362766219703,54.23539878023944
Kopiko Cappuccino Candy Bag — Mayora — 120 g," Sugary snacks, Dolce, Candies", Small bag,,, Indonesia," Mayora, Kopiko",, Caramels de cafè,E,25,," Francia, Italia, Portogallo, Spagna", 120 g,9.123162696401419,,8850580200244,86.56867714140903,,,11.657374556512924,,0.9123162696401418,0.6183476938672072,0.2432843385707045,65.99087683730359
Granola con frutta secca — Pam & Panorama," Cibi e bevande a base vegetale, Cibi a base vegetale, Breakfasts, Cereali e patate, Cereals and their products, Breakfast cereals, Flakes, Cereal flakes, Mixed cereal flakes, Mueslis, en",," Biologico, Biologico UE; ",,, Pam & Panorama,,,C,7,, Italia,,4.406091152354033,,8004263688236,58.0314444456385,,8.489785391121188,21.493127572458704,"Fiocchi di avena* (40,2%), zucchero di canna*, miscela di frutta a gusclo in proporzione variabile (12%) (nocciole, anacardi, noci, mandorle), olio di semi di girasole, fiocchi di frumento* (6,4%), farina di farro termotrattata* (4,9%), cocco disidratato in scaglie, frumento duro sofiato (4,1% ), semi di chia (2%), estruso alla quinoa* (1,7%), (farina di quinoa 0,7% sul prodotto finito, farina di riso, farina di mais' zucchero di canna, sale), semi di girasole, miglio soffiato* (I,1%), zucchero caramellato"",sale *Biologico.Può contenere soia, latte, arachidi e altra frutta a guscio.",11.821220164852289,0.11821220164852286,0.04621022428078621,17.19450205796696
Cioccolato finissimo al latte — Carrefour bio — 100 g," Sugary snacks, Cioccolato, Cioccolato al latte",," Fair trade, Biologico, Biologico UE, FSC, EU/non-EU Agriculture, Fairtrade International; ; ",,," Carrefour bio, Carrefour",,,E,26,, Italia, 100 g,22.559243650085623,,8001350020498,50.24558812973616,,2.563550414782457,36.91512597286738,"Zucchero di canna*, latte in polvere* (27%), burro di cacao*, pasta di cacao*, emulsionante: lecitina di soia, estratto di vaniglia* *Biologico. Può contenere tracce di: frutta a guscio. SENZA GLUTINE.",9.946575609355932,0.23584663815998608,0.09331323509808143,48.19474779791019
Céréales pour Petit-Déjeuner - Aux 5 Céréales Croquantes — Ecor — 300 g," Cibi e bevande a base vegetale, Cibi a base vegetale, Breakfasts, Cereali e patate, Cereals and their products, Breakfast cereals, Flakes, Cereal flakes, Puffed grains, Mixed cereal flakes, Puffed cereals, Mueslis, Cereals with honey, Chocolate cereals", Sachet," Biologico, Biologico UE, IT-BIO-013; ", http, Castelbello," Ecor, Naturasì", Naturasi,  Céréales extrudées pour le petit déjeuner,C,10, Union Européenne," Francia, Italia", 300 g,1.314132398839183,E330 - Acido citrico; E336i - Tartrato monopotassico,8019010239296,80.81914252860976,,6.24212889448612,2.628264797678366,"Boules de céréales extrudées avec du chocolat * [farine de blé * (contient du gluten) *, sucre de canne *, farine de riz *, farine de maïs *, sirop de riz *, cacao *, sel], flocons d'épeautre extrudés * [ farine intégrale d'épeautre * (contient du gluten), sucre de canne *, extrait de malt de maïs *, sel]; Boules de céréales extrudées avec du miel * [farine de maïs *, farine de blé * (contient du gluten), sucre de canne *, farine d'avoine *, sirop de riz *, amidon de maïs *, miel *, sel, vanille bourbon *, acide citrique, poudre à lever : tartrate mono-potassique, colorants : poudre de betterave rouge *, concentré de jus de citron *]; Pétales de céréales extrudées * [farine de riz *, farine de blé * (contient du gluten) *, farine de maïs *, sucre de canne *, sirop de riz *, sel] // * Ingrédients issus de l’Agriculture Biologique",9.089415758637683,0.8760882658927888,0.34495975469528556,37.78130646662651
Ovetti assortiti — Pernigotti — 200g," Confiseries, Oeufs en chocolat"," Plastique, Sachet, Aluminium",,,, Pernigotti, PAM, Oeufs en chocolat,E,27," Pernigotti SpA, viale della Rimembranza 100, 15067 Novi Ligure, Italie", Italia, 200g,13.71047691366618,Huile de palme,8001675118078,59.06051593579278,,,34.80351831930646,"sucre, pâte de cacao, graisses végétales raffinées (palme, palmiste, tournesol, carthame, riz, coton, illipe - dans les fourrages), beurre de cacao, lait entier en poudre, céréales caramélisées (céréales soufflées (blé, orge, riz), sucre, huile de palme, miel, sure caramélisé), café grillé, cacao en poudre, émulsifiant : léchitine de soja, arômes.",5.695121179522876,0.3163956210846042,0.12444894429327764,56.95121179522875
Cioccolato extra fondente 90% — Dolciando," Sugary snacks, Cioccolato, Cioccolato fondente",,,,, Dolciando,,,D,14,, Italia,,36.01376620885853,E322 - Lecitine,8017596101297,15.769341416896635,,13.744898937700444,58.60228229252128,"pasta di cacao, burro di cacao, zucchero, cacao magro, emulsionante: lecitine (SOIA), aroma. Può contenere tracce di LATTE, FRUTTA A GUSCIO, UOVA e GLUTINE.",11.720456458504255,0.11720456458504255,0.04581632979233481,10.44186120848561
Classiche — Lay's — 145 g," Aliments d'origine végétale, Aliments et boissons à base de végétaux, Apéritif, Chips, Chips de pommes de terre, Chips et frites, Céréales et pommes de terre, Snacks salés"," Sachet, Plastique",,,, Lay's,,,D,12,, Italia, 145 g,4.822257864997746,,8410199009968,49.899885733454944,,4.612594479563063,36.691092451069814,"Patate, olio di mais, sale",6.604396641192565,1.5724753907601345,0.6195553039594931,0.628990156304054
