,Notation,Name
32,10-O=10:0,"Decanoic acid, 10-oxo-"
33,11:0,Undecanoic acid; 1-Decanecarboxylic acid; Hendecanoic acid; NSC 7885; Undecylic acid; n-Undecanoic acid; n-Undecoic acid; n-Undecylic acid
34,ai-11:0,"Decanoic acid, 8-methyl-; Capric acid, η-methyl-; (±)-8-Methyldecanoic acid; 8-Methyldecanoic acid; Anteisoundecanoic acid; ai-Undecanoic acid"
35,8-COOH-8:0,Nonanedioic acid; Azelaic acid
36,12:1cy,2-Cyclopentene-1-heptanoic acid; Aleprylic acid; (?)-2-Cyclopentene-1-heptanoic acid; Aleprylic acid; dl-Aleprylic acid
37,12:1,Dodecenoic acid; structure ambiguous
38,12:1-delta-4c,"4-Dodecenoic acid, (4Z)-; Linderic acid; 4-Dodecenoic acid, (Z)-; (Z)-4-Dodecenoic acid; Linderic acid; cis-4-Dodecenoic acid"
39,12:1-delta-5c,"5-Dodecenoic acid, (5Z)-; 5-Dodecenoic acid, (Z)-; cis-5-Dodecenoic acid"
40,12:1-delta-7c,"7-Dodecenoic acid, (7Z)-; 7-Dodecenoic acid, (Z)-; (Z)-7-Dodecenoic acid; cis-7-Dodecenoic acid"
41,12:1-delta-11c,11-Dodecenoic acid
42,"10,11-cpa-11:0",Cyclopropanenonanoic acid; 9-cyclopropylnonanoic acid; 5617-97-0; Cyclopropanenonanoic acid;
43,12:0,Dodecanoic acid; Lauric acid; Lauric acid; 1-Dodecanoic acid; 1-Undecanecarboxylic acid; Dodecylic acid; n-Dodecanoic acid
44,i-12:0,"Undecanoic acid, 10-methyl-; 10-Methylundecanoic acid; Isododecanoic acid; Isolauric acid"
45,9-COOH-9:0,"Decanedioic acid; Sebacic acid; 1,10-Decanedioic acid; 1,8-Octanedicarboxylic acid; NSC 19492; NSC 97405; n-Decanedioic acid"
46,2-OH-7-Me-8-COOH-8:0,"Octanedioic acid, 2-hydroxy-, 7-methyl-"
47,,"Octanoic acid, 6,6-dimethoxy-"
48,"3,4-cpa-13:0","3,4-methylenedodecanoic acid; Cyclopropaneacetic acid, 2-​octyl-​"
49,13:1,Tridecenoic acid; structure ambiguous
50,13:0,"Tridecanoic acid; Tridecylic acid, n-Tridecanoic acid, n-Tridecoic acid"
51,10-COOH-10:0,"Undecanedioic acid; Undecandioic acid;1,11-Undecanedioic acid"
52,,"Nonanoic acid, 9,9-dimethoxy-"
53,14:3,Tetradecatrienoic acid; structure ambiguous
54,14:3,Tetradectrienoic acid; structure ambiguous: double bond positions and configuration not specified
55,14:2,Tetradecadienoic acid; structure ambiguous
56,14:1cy,2-Cyclopentene-1-nonanoic acid; Alepric acid; Alepric acid
57,"14:2-delta-5c,8c","5,8-Tetradecadienoic acid, (5Z,8Z)-; 5,8-Tetradecadienoic acid, (Z,Z)-; (Z,Z)-5,8-Tetradecadienoic acid; C14:2n-6; Goshuyic acid"
58,14:1,Tetradecenoic acid; structure ambiguous
59,14:1-delta-8,8-Tetradecenic acid; structure ambiguous: double bond configuration not specified
60,14:1-delta-4c,"4-Tetradecenoic acid, (4Z)-; 4-Tetradecenoic acid, (Z)-; (Z)-4-Tetradecenoic acid; cis-4-Tetradecenoic acid"
61,14:1-delta-5c,"5-Tetradecenoic acid, (5Z)-; 5-Tetradecenoic acid, (Z)-; (Z)-5-Tetradecenoic acid; C14:1w9; cis-5-Tetradecenoic acid; cis--delta-5-Tetradecenoic acid"
62,14:1-delta-9c,"9-Tetradecenoic acid, (9Z)-; Myristoleic acid; 9-Tetradecenoic acid, (Z)-; (Z)-9-Tetradecenoic acid; 9(Z)-Tetradecenoic acid; 9(Z)-Tetradecenoic acid; 9-cis-Tetradecenoic acid;..."
63,14:1-delta-7c,"7-Tetradecenoic acid, (7Z)-; 7-Tetradecenoic acid, (Z)-; (Z)-7-Tetradecenoic acid; cis-7-Tetradecenoic acid"
64,"5,6-cpa-13:0",2-Heptylcyclopropanebutanoic acid
65,14:0,Tetradecanoic acid; Myristic acid; Myristic acid; 1-Tetradecanoic acid; 1-Tridecanecarboxylic acid; n-Tetradecanoic acid; n-Tetradecoic acid
66,i-14:0,"Tridecanoic acid, 12-methyl-; 12-Methyltridecanoic acid; Aseanostatin P 1; Iso-C14:0; Isomyristic acid; Isotetradecanoic acid"
67,ai-14:0,"Tridecanoic acid, 11-methyl-; (?)-11-Methyltridecanoic acid; 11-Methyltridecanoic acid; Anteisomyristic acid; Anteisotetradecanoic acid"
68,15:3,Pentadecatrienoic acid; structure ambiguous
69,15:1,Pentadecenoic acid; structure ambiguous
70,"5,6-cpa-15:0","5,6-methylenetetradecanoic acid; Cyclopropanebutanoic acid, 2-​octyl-​"
71,15:1-delta-9,9-Pentadecenoic acid; structure ambiguous: double bond configuration not specified
72,15:1-delta-10c,"10-Pentadecenoic acid, (10Z)-; 10-Pentadecenoic acid, (Z)-; (Z)-10-Pentadecenoic acid; cis-10-Pentadecenoic acid"
73,15:0,Pentadecanoic acid; Pentadecylic acid; n-Pentadecanoic acid
74,ai-15:0,"Tetradecanoic acid, 12-methyl-; (?)-12-Methyltetradecanoic acid; 12-Methylmyristic acid; 12-Methyltetradecanoic acid; Anteiso-C15:0; Anteisopentadecanoic acid; C15-Anteiso acid; S..."
75,i-15:0,"Tetradecanoic acid, 13-methyl-; 13-Methylmyristic acid; 13-Methyltetradecanoic acid; Isopentadecanoic acid; Subtilopentadecanoic acid"
76,12-COOH-12:0,"Tridecanedioic acid; duplicate: delete this version TRIDECANEDIOIC ACID;Brassylic acid;1,11-Undecanedicarboxylic acid;Brassilic acid;"
77,16:3,Hexadecatrienoic acid; structure ambiguous
78,16:2cy-delta-6c,"6-Undecenoic acid, 11-(2-cyclopenten-1-yl)-, (6Z)-; Manoaic acid"
79,"16:3-delta-6c,9c,12c","6,9,12-Hexadecatrienoic acid; N/A"
80,"16:3-delta-7c,10c,13c","7,10,13-Hexadecatrienoic acid, (7Z,10Z,13Z)-; Roughanic acid; 7,10,13-Hexadecatrienoic acid, (Z,Z,Z)-; (Z,Z,Z)-7,10,13-Hexadecatrienoic acid; Roughanic acid; all-cis-7,10,13-Hexadecatrienoic acid"
81,16:2cy-delta-4c,"4-Undecenoic acid, 11-(2-cyclopenten-1-yl)-, (Z)-"
82,16:2cy-delta-9c,"9-Undecenoic acid, 11-(2-cyclopenten-1-yl)-, (Z)-"
83,16:2,Hexadecadienoic acid; structure ambiguous
84,16:0cy,16:0cy; cyclopentenyl
85,"16:2-delta-7c,10c","7,10-Hexadecadienoic acid, (7Z,10Z)-; 7,10-Hexadecadienoic acid, (Z,Z)-; (7Z,10Z)-Hexadecadienoic acid; (Z,Z)-7,10-Hexadecadienoic acid; 7Z,10Z-Hexadecadienoic acid"
86,"16:2-delta-9c,12c","9,12-Hexadecadienoic acid, (9Z,12Z)-; 9,12-Hexadecadienoic acid, (Z,Z)-; Palmitolinoleic acid; (Z,Z)-9,12-Hexadecadienoic acid"
87,16:1cy,"2-Cyclopentene-1-undecanoic acid, (1R)-; Hydnocarpic acid; 2-Cyclopentene-1-undecanoic acid, (R)-; Hydnocarpic acid"
88,"16:2-delta-6c,9c","6,9-Hexadecadienoic acid, (6Z,9Z)-; 6,9-Hexadecadienoic acid, (Z,Z)-"
89,"16:2-delta-4c,7c","4,7-Hexadecadienoic acid, (Z,Z)-"
90,16:1,Hexadecenoic acid; structure ambiguous
91,"6,7-cpa-15:0","2-Octylcyclopropanepentanoic acid; Cyclopropanepentanoi​c acid, 2-​octyl-​; 6,7-Methylenetetradecanoic acid;
2-Octylcyclopropanepentanoic acid"
92,16:1-delta-2c,"2-Hexadecenoic acid, (2Z)-; 2-Hexadecenoic acid, (Z)-"
93,16:1-delta-5t,"5-Hexadecenoic acid, (5Z)-; 5-Hexadecenoic acid, (Z)-,  (5Z)-5-Hexadecenoic acid,  (Z)-5-Hexadecenoic acid, cis-5-Hexadecenoic acid"
94,16:1-delta-7c,"7-Hexadecenoic acid, (7Z)-; 7-Hexadecenoic acid, (Z)-; (Z)-7-Hexadecenoic acid; 7Z-Hexadecenoic acid; Hypogeic acid; cis-7-Hexadecenoic acid"
95,16:1-delta-9c,"9-Hexadecenoic acid, (9Z)-; Palmitoleic acid; 9-Hexadecenoic acid, (Z)-; Palmitoleic acid; (Z)-9-Hexadecenoic acid; (Z)-Hexadec-9-enoic acid; 9-Hexadecenoic acid; 9-cis-Hexade..."
96,16:1-delta-11c,"11-Hexadecenoic acid, (11Z)-; 11-Hexadecenoic acid, (Z)-; (11Z)-11-Hexadecenoic acid; (Z)-11-Hexadecenoic acid; Hexadec-11(Z)-enoic acid; cis-11-Hexadecenoic acid; -delta-11-Hex..."
97,16:1-delta-3t,"3-Hexadecenoic acid, (3E)-; 3-Hexadecenoic acid, (E)-; (E)-3-Hexadecenoic acid; 3-E-Hexadecenoic acid; trans-3-Hexadecenoic acid; -delta-3-trans-Hexadecenoic acid"
98,16:1-delta-4c,"4-Hexadecenoic acid, (4Z)-; 4-Hexadecenoic acid, (Z)-; C16:1w12; cis-4-Hexadecenoic acid"
99,16:1-delta-5c,"5-Hexadecenoic acid, (5Z)-; 5-Hexadecenoic acid, (Z)-; (Z)-5-Hexadecenoic acid; cis-5-Hexadecenoic acid"
100,16:1-delta-6c,"6-Hexadecenoic acid, (6Z)-; Sapienic acid; 6-Hexadecenoic acid, (Z)-; (Z)-6-Hexadecenoic acid; 16:1-omega-10; C16:1-omega-10c; Sapienic acid; cis-6-Hexadecenoic acid"
101,16:1-delta-10c,"10-Hexadecenoic acid, (10Z)-; 10-Hexadecenoic acid, (Z)-; cis-10-Hexadecenoic acid; -delta-10-Hexadecenoic acid"
102,16:1-delta-8c,"8-Hexadecenoic acid, (Z)-"
103,16:0,Hexadecanoic acid; Palmitic acid; Palmitic acid; Cetylic acid; n-Hexadecanoic acid; n-Hexadecoic acid
104,i-16:0,"Pentadecanoic acid, 14-methyl-; 14-Methylpentadecanoic acid; Iso-C16:0; Isohexadecanoic acid; Isopalmitic acid"
105,ai-16:0,"Pentadecanoic acid, 13-methyl-; 13-DL-Methyl pentadecanoic acid; 13-Methylpentadecanoic acid; Anteiso-C16:0; Anteisohexadecanoic acid; Anteisopalmitic acid"
106,9-OH-15:0,"Pentadecanoic acid, 9-hydroxy-"
107,"17:3-delta-8a,10t,16","10,16-Heptadecadien-8-ynoic acid, (E)-"
108,11-Ph-11:0,11-Phenylundecanoic acid
109,"17:2-delta-8a,10t","10-Heptadecen-8-ynoic acid, (10E)-; Pyrulic acid; 10-Heptadecen-8-ynoic acid, (E)-; Pyrulic acid"
110,"17:3-delta-8c,11c,14c","8,11,14-Heptadecatrienoic acid, (8Z,11Z,14Z)-; 8,11,14-Heptadecatrienoic acid, (Z,Z,Z)-; 8(Z),11(Z),14(Z)-Heptadecatrienoic acid; Norlinolenic acid"
111,17:2,Heptadecadienoic acid; structure ambiguous
112,"17:2-delta-9,12","9,12-Heptadecadienoic acid; 9,12-Heptadecadienoic acid;cis-9,cis-12-heptadecadienoic acid;"
113,17:1,Heptadecenoic acid; structure ambiguous
114,17:1-delta-10c,"10-Heptadecenoic acid, (10Z)-; 10-Heptadecenoic acid, (Z)-; 10-cis-Heptadecenoic acid; Z 10-Heptadecenoic acid; cis-10-Heptadecenoic acid"
115,"7,8-cpa-17:0","Cyclopropanehexanoic acid, 2-octyl-, (1R,2S)-rel-; Cyclopropanehexanoic acid, 2-octyl-, cis-"
116,17:1-delta-9c,"9-Heptadecenoic acid, (9Z)-; 9-Heptadecenoic acid, (Z)-; (9Z)-9-Heptadecenoic acid; (Z)-9-Heptadecenoic acid; (Z)-Heptadec-9-enoic acid; Margaroleic acid; cis-9-Heptadecenoic ..."
117,17:1-delta-8c,"8-Heptadecenoic acid, (8Z)-; 8-Heptadecenoic acid, (Z)-; (Z)-Heptadec-8-enoic acid; 8-Heptadecenoic acid, cis-"
118,"9,10-cpa-17:0","Cyclopropaneoctanoic acid, 2-hexyl-; 2-Hexylcyclopropaneoctanoic acid; 9,10-Methylenehexadecanoic acid; Hexadecanoic acid, 9,10-methylene-"
119,17:1-delta-11,11-Heptadecenoic acid; heptadec-11-enoic acid
120,15-Me-16:1-delta-11,"11-Hexadecenoic acid, 15-methyl-"
121,"9,10-cpa-16:0","Hexadecanoic acid, 9,10-methylene-"
122,"7,8-cpa-16:0","Hexadecanoic acid, 7,8-methylene-"
123,OH-16:1,Hydroxyhexadecenoic acid; structure ambiguous
124,17:0,Heptadecanoic acid; Margaric acid; Margaric acid; Margarinic acid; NSC 3743; n-Heptadecanoic acid; n-Heptadecoic acid; n-Heptadecylic acid
125,i-17:0,"Hexadecanoic acid, 15-methyl-; 15-Methylhexadecanoic acid; 15-Methylpalmitic acid; Isoheptadecanoic acid; Subtiloheptadecanoic acid"
126,ai-17:0,"Hexadecanoic acid, 14-methyl-; Methylpalmitic acid; Palmitic acid, -nu--methyl-; 14-Methylhexadecanoic acid; 14-Methylpalmitic acid; Ai17:0; Anteisoheptadecanoic acid; Anteisomar..."
127,"18:4-delta-9a,11a,13t,17","13,17-Octadecadiene-9,11-diynoic acid"
128,2-OH-16:0,"Hexadecanoic acid, 2-hydroxy-; (±)-2-Hydroxyhexadecanoic acid; (±)-α-Hydroxypalmitic acid; 2-Hydroxyhexadecanoic acid; 2-Hydroxypalmitic acid; DL-2-Hydroxyhexadecanoic acid; DL-..."
129,"18:3-delta-9a,11a,13t","13-Octadecene-9,11-diynoic acid, (13E)-; Exocarpic acid; 13-Octadecene-9,11-diynoic acid, (E)-; Exocarpic acid; Octadeca-trans-13-ene-9,11-diynoic acid"
130,"18:3-delta-9a,11a,17","17-Octadecene-9,11-diynoic acid; Erythrogenic acid; Isanic acid"
131,"18:4-6a,9c,12c,15c","(9Z,12Z,15Z)-octadeca-9,12,15-trien-6-ynoic acid; Dicranin; (9Z,12Z,15Z)-octadeca-9,12,15-trien-6-ynoic acid; Octadeca-6-yn-9,12,15(all Z)-trienoic acid (18:4a); Dicranin"
132,16-F-16:0,"Hexadecanoic acid, 16-fluoro-; 16-Fluoropalmitic acid"
133,"18:3-delta-6a,9c,12c","(9Z,12Z)-octadeca-9,12-dien-6-ynoic acid; Octadeca-6-yn-9,12(all Z)-dienoic acid (18:3a)"
134,18:4,Octadecatetraenoic acid; structure ambiguous
135,18:4 conjugated,conjugated octadecatetraenoic acids; structure ambiguous
136,"18:3-delta-9c,12c,14a","9,14-Octadecadien-12-ynoic acid, (9Z,14Z)-; Dehydrocrepenynic acid; 9,14-Octadecadien-12-ynoic acid, (Z,Z)-; 14,15-Dehydrocrepenynic acid; Crepenynic acid, 14,15-dehydro-; Dehydrocrepenynic acid"
137,"18:4-delta-3c,6c,9c,12c","3,6,9,12-Octadecatetraenoic acid, (3Z,6Z,9Z,12Z)-; 3,6,9,12-Octadecatetraenoic acid, (all-Z)-; Dihomo--gamma--linoleinic acid"
138,"18:4-delta-5c,9c,12c,15c","5,9,12,15-Octadecatetraenoic acid, (5Z,9Z,12Z,15Z)-; Coniferonic acid; 5,9,12,15-Octadecatetraenoic acid, (all-Z)-; Coniferonic acid"
139,"18:4-delta-5t,9c,12c,15c","5,9,12,15-Octadecatetraenoic acid, (5E,9Z,12Z,15Z)-; 5,9,12,15-Octadecatetraenoic acid, (Z,Z,Z,E)-"
140,"18:4-delta-6c,9c,12c,15c","6,​9,​12,​15-​Octadecatetraenoic acid, (6Z,​9Z,​12Z,​15Z)​-; Stearidonic acid; 6,9,12,15-Octadecatetraenoic acid, (all-Z)-;(6Z,9Z,12Z,15Z)-6,9,12,15-Octadecatetraenoic acid;
(6Z,9Z,12Z,15Z)-Octadecatetraenoic..."
141,"18:4-delta-8c,10c,12c,14t","8,10,12,14-Octadecatetraenoic acid, (8Z,10Z,12Z,14E)-; Ixoric acid; 8,10,12,14-Octadecatetraenoic acid, (E,Z,Z,Z)-; Ixoric acid"
142,"18:4-delta-9,11,13,15","9,11,13,15-Octadecatetraenoic acid; Parinaric acid; Parinaric acid"
143,"18:3-delta-8t,10t,12a","8,10-Octadecadien-12-ynoic acid, (8E,10E)-"
144,"18:4-delta-9c,11t,13t,15c","9,11,13,15-Octadecatetraenoic acid, (9Z,11E,13E,15Z)-; 9,11,13,15-Octadecatetraenoic acid, (Z,Z,E,E)-; 9-cis,11-trans,13-trans,15-cis-Octadecatetraenoic acid; cis-Parinaric acid; -alpha--PAC; -alpha--Pa..."
145,i-18:3*?18:4,"3,9,12,15-Octadecatetraenoic acid, (E,Z,Z,Z)-"
146,"18:2-delta-9a,11a","9,11-Octadecadiynoic acid"
147,"18:3-delta-9a,11t,17","11,17-Octadecadien-9-ynoic acid, (E)-; trans-11,17-Octadecadien-9-ynoic acid"
148,"18:4-delta-3t,9c,12c,15c","E,Z,Z,Z-3,9,12,15-Octadecatetraenoic acid"
149,18:3,Octadecatrienoic acid; structure ambiguous
150,18:3conj.,conjugated octadecatrienes; structure ambiguous
151,"7-OH-17:3-delta-8a,10t,16","10,16-Heptadecadien-8-ynoic acid, 7-hydroxy-, (E)-"
152,"18:2-delta-6a,17",17-Octadecen-6-ynoic acid; Alvaradoic acid
153,"18:2-delta-9a,11t","11-Octadecen-9-ynoic acid, (11E)-; Santalbic acid; 11-Octadecen-9-ynoic acid, (E)-; 11-Octadecen-9-ynoic acid, trans-; Ximenynic acid; Santalbic acid; Ximeninic acid; trans-11-Octade..."
154,"18:2-delta-9c,12a","9-Octadecen-12-ynoic acid, (9Z)-; Crepenynic acid; 9-Octadecen-12-ynoic acid, (Z)-; (Z)-9-Octadecen-12-ynoic acid; 9(Z)-Octadec-9-en-12-ynoic acid; Crepenynic acid; cis-9-Octadecen-..."
155,"18:3-delta-3t,9c,12c","3,9,12-Octadecatrienoic acid, (3E,9Z,12Z)-; 3,9,12-Octadecatrienoic acid, (E,Z,Z)-; trans-3,cis-9,cis-12-Octadecatrienoic acid"
156,"18:3-delta-5,6allene,16t","5,6,16-Octadecatrienoic acid; Lamenallenic acid; 5,6,16-Octadecatrienoic acid, (E)-(-)-; 5,6,16-Octadecatrienoic acid, [R-(E)]-; (-)-Octadeca-5,6-trans-16-trienoic acid; Lamenal..."
157,"18:3-delta-5c,9c,12c","5,9,12-Octadecatrienoic acid, (5Z,9Z,12Z)-; Pinolenic acid; 5,9,12-Octadecatrienoic acid, (Z,Z,Z)-; (Z,Z,Z)-5,9,12-Octadecatrienoic acid; 5,9,12-cis-Octadecatrienoic acid; Pinolenic acid; cis..."
158,"18:3-delta-5t,9c,12c","7,9,12-Octadecatrienoic acid, (E,Z,Z)-; Columbinic acid; Aquilegic acid; Ranunculeic acid; Columbinic acid"
159,"18:3-delta-6c,9c,12c","6,9,12-Octadecatrienoic acid, (6Z,9Z,12Z)-; gamma--Linolenic acid; 6,9,12-Octadecatrienoic acid, (Z,Z,Z)-; -gamma--Linolenic acid; (Z,Z,Z)-6,9,12-Octatrienoic acid; 6(Z),9(Z),12(Z)-Octadecatr..."
160,"18:3-delta-8c,10t,12c","8,10,12-Octadecatrienoic acid, (Z,E,Z)- (8CI); Jacaric acid; Jacaranda acid; Jacaric acid; Jacaranda acid"
161,"18:3-delta-8t,10t,12c","8,10,12-Octadecatrienoic acid, (8E,10E,12Z)-; Calendic acid; 8,10,12-Octadecatrienoic acid, (E,E,Z)-; Calendic acid"
162,"18:3-delta-8t,10t,12t","8,10,12-Octadecatrienoic acid, (8E,10E,12E)-; Beta-Calendic acid; 8,10,12-Octadecatrienoic acid, (E,E,E)-; trans,trans,trans-8,10,12-Octadecatrienoic acid; -beta--Calendic acid"
163,"18:3-delta-9c,11t,13t","9,11,13-Octadecatrienoic acid, (9Z,11E,13E)-; alpha-eleostearic acid; 9,11,13-Octadecatrienoic acid, (E,Z,E)-; cis,trans,trans-9,11,13-Octadecatrienoic acid; cis-Eleostearic acid; -alpha--Eleos..."
164,"18:3-delta-9c,11t,13c","9,11,13-Octadecatrienoic acid, (9Z,11Z,13E)-; Punicinic acid; 9,11,13-Octadecatrienoic acid, (E,Z,Z)-; Punicic acid; Trichosanoic acid; Punicinic acid"
165,"18:3-delta-9c,12c,15c","9,12,15-Octadecatrienoic acid, (9Z,12Z,15Z)-; alpha-linolenic acid; 9,12,15-Octadecatrienoic acid, (Z,Z,Z)-; Linolenic acid; (9Z,12Z,15Z)-9,12,15-Octadecatrienoic acid; (Z,Z,Z)-Octadeca-9,12,15..."
166,"18:3-delta-9t,11t,13c","9,11,13-Octadecatrienoic acid, (9E,11E,13Z)-; Catalpic acid; 9,11,13-Octadecatrienoic acid, (Z,E,E)-; Catalpic acid; trans,trans,cis-9,11,13-Octadecatrienoic acid"
167,"18:3-delta-9t,11t,13t","9,11,13-Octadecatrienoic acid; beta-Eleostearic acid; all trans-Eleostearic acid; Elaeostearic acid; NSC 407903; beta--Eleostearic acid"
168,"18:3-delta-9t,12t,15t","9,12,15-Octadecatrienoic acid, (9E,12E,15E)-; 9,12,15-Octadecatrienoic acid, (E,E,E)-; Elaidolinolenic acid; (All trans)-9,12,15-Octadecatrienoic acid; Linolenelaidic acid"
169,18:2cy-delta-6c,"6-Tridecenoic acid, 13-(2-cyclopenten-1-yl)-, (6Z)-; Gorlic acid; Gorlic acid; 13R-(2-cyclopenten-1-yl)-6Z-tridecenoic acid; (6Z)-13-[(1R)-cyclopent-2-en-1-yl]tridec-6-enoic acid; NSC 313951"
170,18:2cy-delta-4c,"4-Tridecenoic acid, 13-(2-cyclopenten-1-yl)-, (4Z)-; Isogorlic acid"
171,18:2cy,"Tridecenoic acid, 13-(2-cyclopenten-1-yl)-; Gorlic acid; structure ambiguous, unspecified double bond position and configuration; Gorlic acid"
172,"18:3-delta-8c,11c,14c","Z,Z,Z-8,11,14-Octadecatrienoic acid; Z,Z,Z-8,11,14-Octadecatrienoic acid; 8c,11c,14c-Octadecatrienoic acid"
173,18:2cy-delta-9c,"9-Tridecenoic acid, 13-(2-cyclopenten-1-yl)-, (Z)-"
174,"18:3-delta-3c,6c,9c","3,6,9-Octadecatrienoic acid, (3Z,6Z,9Z)-; 3,6,9-Octadecatrienoic acid, (Z,Z,Z)-"
175,"18:3-Delta-9c,12c,15t","9,12,15-Octadecatrienoic acid, (Z,Z,E)-; (9Z,12Z,15E)-9,12,15-Octadecatriensäure,
(9Z,12Z,15E)-9,12,15-Octadecatrienoic acid,
9Z,12Z,15E-octadecatrienoic acid,
cis,cis,cis-9,12,15-octadeca..."
176,"18:3-delta-6,12,15","6,12,15-Octadecatrienoic acid; structure ambiguous: double bond configuration not specified"
177,"18:3-delta-9,12,16","9,12,16-Octadecatrienoic acid; structure ambiguous: double bond configuration not specified"
178,"18:3-delta-9,13,16","9,13,16-Octadecatrienoic acid; structure ambiguous: double bond configuration not specified"
179,"18:3-delta-6,9,11","6,9,11-Octadecatrienoic acid; structure ambiguous: double bond configuration not specified"
180,"18:3-delta-3c,9c,12c","3,9,12-Octadecatrienoic acid, (Z,Z,Z)-; Z,Z,Z-octadeca-3,9,12-trienoic"
181,18:2,Octadecadienoic acid; structure ambiguous
182,18:2 conj.,conjugated octadecadienoic acid; structure ambiguous
183,18:1-delta-8a,8-Octadecynoic acid; octadec-8-ynoic acid
184,18:1-delta-11a,11-Octadecynoic acid; 11-Octadecynoic acid;Octadec-11-ynoic acid;11-Octadecinsaeure;11-Octadecynsaeure;Octadec-11-insaeure
185,"7-OH-17:2-delta-8a,10t","10-Heptadecen-8-ynoic acid, 7-hydroxy-, (E)-"
186,18:1-delta-6a,"6-Octadecynoic acid; Tariric acid; Tariric acid; 6,7-Stearolic acid; 6-Stearolic acid; NSC 37392"
187,18:1-delta-9a,9-Octadecynoic acid; Stearolic acid; Stearolic acid; 9-Stearolic acid; Octadecanoic acid-9-yne
188,"18:2-delta-5,6allene","5,6-Octadecadienoic acid; Laballenic acid; 5,6-Octadecadienoic acid, (R)-; 5,6-Octadecadienoic acid, (R)-(-)-; Laballenic acid; (-)-5,6-Octadecadienoic acid"
189,"18:2-delta-5c,9c","5,9-Octadecadienoic acid, (5Z,9Z)-; Taxoleic acid; 5,9-Octadecadienoic acid, (Z,Z)-; (Z,Z)-5,9-Octadecadienoic acid; 5Z,9Z-Octadecadienoic acid; Taxoleic acid; cis,cis-5,9-Octadecadie..."
190,"18:2-delta-5t,9c","5,9-Octadecadienoic acid, (Z,E)-; 5,​9-​Octadecadienoic acid, (5E,​9Z)​-; 5-trans-9-cis-Octadecadienoic acid"
